Time,Iteration,Cost,Parameters
Fri Aug 23 21:30:17 2024,0,0.8424471588702114,[-2.8992993   2.24131878 -2.12039549 -0.12041518  0.55777123 -2.76622482
  3.06470083  2.1857173   1.18163584 -1.06259894]
Fri Aug 23 21:31:39 2024,1,0.8521298459651695,[-2.89505134  2.24556675 -2.11614752 -0.11616721  0.56201919 -2.76197686
  3.0689488   2.18996527  1.1858838  -1.0668469 ]
Fri Aug 23 21:33:02 2024,2,0.8412416218871587,[-2.88917037  2.25144771 -2.11026656 -0.11028625  0.56790016 -2.76785783
  3.06306783  2.1840843   1.19176476 -1.06096593]
Fri Aug 23 21:34:24 2024,3,0.8413156596582573,[-2.88646234  2.24873968 -2.11297459 -0.11299428  0.56519212 -2.76514979
  3.06577586  2.18679233  1.1944728  -1.06367397]
Fri Aug 23 21:35:47 2024,4,0.847250052472251,[-2.88112399  2.24340133 -2.10763624 -0.10765593  0.57053047 -2.75981145
  3.06043751  2.18145398  1.18913445 -1.05833562]
Fri Aug 23 21:37:10 2024,5,0.8636343868883868,[-2.87735393  2.24717139 -2.1114063  -0.10388587  0.57430053 -2.76358151
  3.05666745  2.17768392  1.19290451 -1.06210568]
Fri Aug 23 21:38:34 2024,6,0.8439737500937852,[-2.87451924  2.25000607 -2.10857162 -0.10672055  0.57146585 -2.76641619
  3.05383277  2.18051861  1.19573919 -1.06494036]
Fri Aug 23 21:39:57 2024,7,0.8451853169400758,[-2.87172576  2.24721259 -2.10577813 -0.10951404  0.56867237 -2.7636227
  3.05662626  2.18331209  1.19294571 -1.06773385]
Fri Aug 23 21:41:21 2024,8,0.8446518847150795,[-2.86732178  2.25161657 -2.11018211 -0.10511006  0.56426839 -2.75921873
  3.05222228  2.18771607  1.19734968 -1.07213782]
Fri Aug 23 21:42:43 2024,9,0.8600669493426629,[-2.86928668  2.25358147 -2.10821721 -0.10314516  0.56230349 -2.75725382
  3.05025738  2.18968097  1.19538478 -1.07410272]
Fri Aug 23 21:44:07 2024,10,0.8290059140587736,[-2.86762593  2.25192071 -2.10987796 -0.10148441  0.56064273 -2.75891458
  3.04859662  2.19134172  1.19704554 -1.07576348]
Fri Aug 23 21:45:30 2024,11,0.8559299810179714,[-2.86416785  2.25537879 -2.11333604 -0.10494248  0.55718465 -2.76237266
  3.0520547   2.1947998   1.20050361 -1.0723054 ]
Fri Aug 23 21:46:54 2024,12,0.8413581696398661,[-2.85821723  2.24942817 -2.10738542 -0.09899186  0.55123404 -2.75642204
  3.05800532  2.18884918  1.194553   -1.06635478]
Fri Aug 23 21:48:17 2024,13,0.8362466591648661,[-2.85544124  2.24665218 -2.11016141 -0.09621588  0.54845805 -2.75364605
  3.05522933  2.19162517  1.19732898 -1.06913077]
Fri Aug 23 21:49:40 2024,14,0.8400522810197496,[-2.85391914  2.24817429 -2.10863931 -0.09469377  0.54693594 -2.75212394
  3.05675143  2.19010307  1.19885109 -1.06760867]
Fri Aug 23 21:51:03 2024,15,0.8387093577710591,[-2.84763755  2.25445588 -2.1149209  -0.10097536  0.54065435 -2.75840554
  3.06303303  2.19638466  1.20513268 -1.07389026]
Fri Aug 23 21:52:26 2024,16,0.8472591394377387,[-2.84310431  2.24992264 -2.11038766 -0.09644213  0.54518759 -2.76293877
  3.06756626  2.19185142  1.20059945 -1.07842349]
Fri Aug 23 21:53:48 2024,17,0.8368867561922179,[-2.83760431  2.25542264 -2.10488766 -0.09094213  0.53968759 -2.75743877
  3.07306626  2.18635142  1.20609945 -1.0839235 ]
Fri Aug 23 21:55:10 2024,18,0.8504177231751268,[-2.83247571  2.25029404 -2.11001626 -0.08581352  0.54481619 -2.75231017
  3.07819486  2.18122282  1.21122805 -1.0890521 ]
Fri Aug 23 21:56:33 2024,19,0.8385693151335686,[-2.82969515  2.2530746  -2.1072357  -0.08859409  0.54759675 -2.74952961
  3.0754143   2.18400338  1.20844748 -1.09183266]
