Data,Predicted,Reference
Train,[-0.0012085052376960427],[-0.03225818565279794]
Train,[-0.001208505237696079],[-7.769851570889031e-07]
Train,[-0.0012085052376960555],[-7.769851570670464e-07]
Train,[-0.001208505237696039],[-0.016908658625533646]
Train,[-0.001208505237696041],[2.147515531627273e-06]
Train,[-0.0012085052376960609],[-0.03181998237701682]
Train,[-0.0012085052376960537],[-0.020466061799623576]
Train,[-0.0012085052376960572],[-2.2178075255649983e-06]
Train,[-0.001208505237696041],[0.034386940850617984]
Train,[-0.0012085052376960427],[1.3818615606561856e-06]
Train,[-0.0012085052376960336],[1.4598582711141459e-06]
Train,[-0.001208505237696041],[-0.004030206474187189]
Train,[-0.00120850523769605],[-9.471188573092583e-17]
Train,[-0.0012085052376960882],[5.46414725370726e-18]
Train,[-0.001208505237696079],[1.82138241790242e-18]
Train,[-0.0012085052376960754],[1.092829450741452e-17]
Train,[0.014377660544203247],[2.1475155316309158e-06]
Train,[0.014377660544203244],[-0.02046606179962359]
Train,[0.01437766054420322],[-0.03181998237701695]
Train,[0.014377660544203263],[-2.2178075256323896e-06]
Train,[0.01437766054420323],[-0.04557838729447085]
Train,[0.01437766054420325],[1.820191515441475e-06]
Train,[0.01437766054420327],[1.8201915155289015e-06]
Train,[0.01437766054420326],[-0.07587621233758134]
Train,[0.014377660544203247],[-4.1009506176001475e-06]
Train,[0.014377660544203266],[0.03502305871878561]
Train,[0.01437766054420325],[0.04596011552868171]
Train,[0.014377660544203277],[2.452425396471171e-06]
Train,[0.01437766054420327],[-3.64276483580484e-18]
Train,[0.014377660544203263],[-1.092829450741452e-16]
Train,[0.01437766054420325],[-1.3113953408897423e-16]
Train,[0.014377660544203263],[9.1069120895121e-18]
Train,[-0.002151808398068961],[0.034386940850618]
Train,[-0.0021518083980689427],[1.45985827106679e-06]
Train,[-0.0021518083980689518],[1.381861560628865e-06]
Train,[-0.0021518083980689535],[-0.004030206474187182]
Train,[-0.0021518083980689557],[-4.100950617578291e-06]
Train,[-0.002151808398068959],[0.04596011552868179]
Train,[-0.0021518083980689626],[0.035023058718785624]
Train,[-0.00215180839806893],[2.4524253964638855e-06]
Train,[-0.0021518083980689466],[-0.04635304026034097]
Train,[-0.0021518083980689336],[8.766607765741092e-07]
Train,[-0.0021518083980689153],[8.766607766032513e-07]
Train,[-0.00215180839806891],[-0.040709636276467155]
Train,[-0.0021518083980689375],[5.282009011917018e-17]
Train,[-0.0021518083980689245],[-5.46414725370726e-18]
Train,[-0.0021518083980689353],[1.82138241790242e-18]
