Data,Predicted,Reference
Train,[-0.0011940551162630134],[-0.03225818565279794]
Train,[-0.0011940551162630262],[-7.769851570889031e-07]
Train,[-0.0011940551162630262],[-7.769851570670464e-07]
Train,[-0.0011940551162630006],[-0.016908658625533646]
Train,[-0.0011940551162630151],[2.147515531627273e-06]
Train,[-0.0011940551162630225],[-0.03181998237701682]
Train,[-0.0011940551162630316],[-0.020466061799623576]
Train,[-0.0011940551162630262],[-2.2178075255649983e-06]
Train,[-0.001194055116263017],[0.034386940850617984]
Train,[-0.001194055116263008],[1.3818615606561856e-06]
Train,[-0.001194055116263028],[1.4598582711141459e-06]
Train,[-0.0011940551162630134],[-0.004030206474187189]
Train,[-0.0011940551162630134],[-9.471188573092583e-17]
Train,[-0.0011940551162630299],[5.46414725370726e-18]
Train,[-0.0011940551162630444],[1.82138241790242e-18]
Train,[-0.001194055116263039],[1.092829450741452e-17]
Train,[0.014378964341603434],[2.1475155316309158e-06]
Train,[0.01437896434160343],[-0.02046606179962359]
Train,[0.014378964341603443],[-0.03181998237701695]
Train,[0.014378964341603486],[-2.2178075256323896e-06]
Train,[0.014378964341603476],[-0.04557838729447085]
Train,[0.01437896434160345],[1.820191515441475e-06]
Train,[0.014378964341603467],[1.8201915155289015e-06]
Train,[0.01437896434160345],[-0.07587621233758134]
Train,[0.01437896434160346],[-4.1009506176001475e-06]
Train,[0.01437896434160348],[0.03502305871878561]
Train,[0.014378964341603467],[0.04596011552868171]
Train,[0.014378964341603486],[2.452425396471171e-06]
Train,[0.014378964341603467],[-3.64276483580484e-18]
Train,[0.01437896434160347],[-1.092829450741452e-16]
Train,[0.01437896434160346],[-1.3113953408897423e-16]
Train,[0.01437896434160348],[9.1069120895121e-18]
Train,[-0.0021373114570504568],[0.034386940850618]
Train,[-0.0021373114570504277],[1.45985827106679e-06]
Train,[-0.0021373114570504494],[1.381861560628865e-06]
Train,[-0.0021373114570504186],[-0.004030206474187182]
Train,[-0.002137311457050433],[-4.100950617578291e-06]
Train,[-0.0021373114570504294],[0.04596011552868179]
Train,[-0.002137311457050455],[0.035023058718785624]
Train,[-0.002137311457050424],[2.4524253964638855e-06]
Train,[-0.0021373114570504186],[-0.04635304026034097]
Train,[-0.0021373114570504476],[8.766607765741092e-07]
Train,[-0.002137311457050453],[8.766607766032513e-07]
Train,[-0.002137311457050413],[-0.040709636276467155]
Train,[-0.002137311457050453],[5.282009011917018e-17]
Train,[-0.0021373114570504385],[-5.46414725370726e-18]
Train,[-0.0021373114570504385],[1.82138241790242e-18]
Train,[-0.0021373114570504346],[9.471188573092583e-17]
Train,[-0.021285795397405126],[-9.471188573092583e-17]
Train,[-0.021285795397405112],[1.82138241790242e-18]
Train,[-0.02128579539740515],[5.46414725370726e-18]
Train,[-0.021285795397405147],[1.092829450741452e-17]
Train,[-0.021285795397405147],[-3.64276483580484e-18]
Train,[-0.02128579539740514],[-1.3113953408897423e-16]
Train,[-0.02128579539740514],[-1.092829450741452e-16]
Train,[-0.02128579539740515],[9.1069120895121e-18]
Train,[-0.021285795397405095],[5.282009011917018e-17]
Train,[-0.021285795397405126],[1.82138241790242e-18]
Train,[-0.02128579539740513],[-5.46414725370726e-18]
Train,[-0.021285795397405143],[9.471188573092583e-17]
Train,[-0.021285795397405126],[-0.026621245462551197]
Train,[-0.02128579539740515],[-5.688607871304142e-07]
Train,[-0.02128579539740515],[-5.688607871322355e-07]
Train,[-0.02128579539740514],[-0.010823945532928939]
Train,[-0.001158009628376455],[-0.03225642570605386]
Train,[-0.0011580096283764696],[7.900587201402797e-05]
Train,[-0.0011580096283764479],[7.900587201395693e-05]
Train,[-0.0011580096283764513],[-0.01692222211298195]
Train,[-0.0011580096283764442],[0.00021839714942577227]
Train,[-0.001158009628376466],[0.03183374883540315]
Train,[-0.0011580096283764368],[0.020468388897137785]
Train,[-0.0011580096283764624],[-0.00022558532345777192]
Train,[-0.0011580096283764405],[0.034430140265059306]
Train,[-0.0011580096283764715],[-0.00014064887786440584]
Train,[-0.0011580096283764422],[-0.00014859676587885906]
Train,[-0.001158009628376477],[-0.004036594411177927]
Train,[-0.001158009628376455],[-1.4753197585009603e-16]
Train,[-0.0011580096283764496],[2.185658901482904e-17]
Train,[-0.0011580096283764513],[1.457105934321936e-17]
Train,[-0.001158009628376455],[1.639244176112178e-17]
Train,[0.013767170442522398],[0.0002183971494257249]
Train,[0.013767170442522377],[0.020468388897137844]
Train,[0.01376717044252238],[0.03183374883540315]
Train,[0.013767170442522427],[-0.00022558532345770454]
Train,[0.013767170442522384],[-0.04565742741386274]
Train,[0.013767170442522427],[-0.00018499056409219296]
Train,[0.01376717044252242],[-0.00018499056409211466]
Train,[0.013767170442522417],[-0.07587345187227598]
Train,[0.013767170442522443],[-0.000417703483878227]
Train,[0.013767170442522387],[-0.03506887734551717]
Train,[0.01376717044252238],[-0.04598491259983777]
Train,[0.01376717044252241],[0.00024937868650868835]
Train,[0.01376717044252243],[-1.274967692531694e-17]
Train,[0.013767170442522417],[1.5117474068590086e-16]
Train,[0.01376717044252239],[1.9853068355136378e-16]
Train,[0.013767170442522434],[-4.371317802965808e-17]
Train,[-0.0021208395285012634],[0.034430140265059465]
Train,[-0.0021208395285012816],[-0.0001485967658787516]
Train,[-0.0021208395285012838],[-0.00014064887786438763]
Train,[-0.002120839528501307],[-0.00403659441117794]
Train,[-0.0021208395285013],[-0.00041770348387830354]
Train,[-0.00212083952850128],[-0.04598491259983788]
Train,[-0.0021208395285012816],[-0.03506887734551722]
Train,[-0.002120839528501258],[0.00024937868650867014]
Train,[-0.0021208395285013037],[-0.04642098563854254]
Train,[-0.0021208395285012872],[-8.929989840338444e-05]
Train,[-0.0021208395285012764],[-8.92998984034318e-05]
Train,[-0.0021208395285013037],[-0.04070587366488182]
Train,[-0.002120839528501307],[8.742635605931616e-17]
Train,[-0.0021208395285012525],[-3.096350110434114e-17]
Train,[-0.002120839528501269],[-2.367797143273146e-17]
Train,[-0.0021208395285012907],[1.274967692531694e-16]
Train,[-0.021494003519964805],[-1.4753197585009603e-16]
Train,[-0.021494003519964833],[1.457105934321936e-17]
Train,[-0.021494003519964795],[2.185658901482904e-17]
Train,[-0.02149400351996479],[1.639244176112178e-17]
Train,[-0.021494003519964784],[-1.274967692531694e-17]
Train,[-0.021494003519964826],[1.9853068355136378e-16]
Train,[-0.0214940035199648],[1.5117474068590086e-16]
Train,[-0.021494003519964826],[-4.371317802965808e-17]
Train,[-0.0214940035199648],[8.742635605931616e-17]
Train,[-0.02149400351996481],[-2.367797143273146e-17]
Train,[-0.02149400351996483],[-3.096350110434114e-17]
Train,[-0.02149400351996479],[1.274967692531694e-16]
Train,[-0.021494003519964805],[-0.026634468268519597]
Train,[-0.021494003519964822],[5.783038463533851e-05]
Train,[-0.021494003519964826],[5.7830384635351266e-05]
Train,[-0.021494003519964805],[-0.010832636499721451]
Train,[-0.0012015904373373118],[-0.032258451158275296]
Train,[-0.0012015904373373684],[-1.3271416039564208e-05]
Train,[-0.0012015904373373354],[-1.3271416039666206e-05]
