Data,Predicted,Reference
Train,[-0.022635298992082557],[-0.03225818565279794]
Train,[-0.0034611401093718424],[-7.769851570889031e-07]
Train,[-0.00346114010937487],[-7.769851570670464e-07]
Train,[-0.016782433655562493],[-0.016908658625533646]
Train,[0.0003304204217136974],[2.147515531627273e-06]
Train,[-0.02074318400320032],[-0.03181998237701682]
Train,[-0.008179361432258704],[-0.020466061799623576]
Train,[-0.0006335117631341133],[-2.2178075255649983e-06]
Train,[0.0181816892066639],[0.034386940850617984]
Train,[0.0002719328046252833],[1.3818615606561856e-06]
Train,[0.00030723688735685944],[1.4598582711141459e-06]
Train,[-0.0025100219578331703],[-0.004030206474187189]
Train,[0.0020863782679126567],[-9.471188573092583e-17]
Train,[0.0025704540338082446],[5.46414725370726e-18]
Train,[0.003423459756480421],[1.82138241790242e-18]
Train,[0.001675730599202901],[1.092829450741452e-17]
Train,[-0.0042158689567187895],[2.1475155316309158e-06]
Train,[-0.01520659007845475],[-0.02046606179962359]
Train,[-0.02652946798078821],[-0.03181998237701695]
Train,[-0.006057572852669814],[-2.2178075256323896e-06]
Train,[-0.027354483012757395],[-0.04557838729447085]
Train,[-0.002855210830776517],[1.820191515441475e-06]
Train,[-0.0028552108307782235],[1.8201915155289015e-06]
Train,[-0.02784567854273833],[-0.07587621233758134]
Train,[-0.003706533780516472],[-4.1009506176001475e-06]
Train,[0.009903241624127928],[0.03502305871878561]
Train,[0.013901993631454312],[0.04596011552868171]
Train,[-0.0028617323254297327],[2.452425396471171e-06]
Train,[-0.0012051873438671588],[-3.64276483580484e-18]
Train,[-0.0009218590032421295],[-1.092829450741452e-16]
Train,[-0.0009439260986853462],[-1.3113953408897423e-16]
Train,[-0.0006600021401625887],[9.1069120895121e-18]
Train,[0.01814969651789729],[0.034386940850618]
Train,[0.0003095017987003012],[1.45985827106679e-06]
Train,[0.00027449512253919877],[1.381861560628865e-06]
Train,[-0.002496186784749982],[-0.004030206474187182]
Train,[-0.0010659433769337593],[-4.100950617578291e-06]
Train,[0.01702993894024109],[0.04596011552868179]
Train,[0.013613109209273765],[0.035023058718785624]
Train,[0.0002578485855264058],[2.4524253964638855e-06]
Train,[-0.0279254656214553],[-0.04635304026034097]
Train,[-0.001093476001707685],[8.766607765741092e-07]
Train,[-0.0010934760017111984],[8.766607766032513e-07]
Train,[-0.025586865294983243],[-0.040709636276467155]
Train,[0.002745838446176692],[5.282009011917018e-17]
Train,[0.0033239525914167544],[-5.46414725370726e-18]
Train,[0.003350663758105062],[1.82138241790242e-18]
Train,[0.003070234525474752],[9.471188573092583e-17]
Train,[0.0026952940935277745],[-9.471188573092583e-17]
Train,[0.0036320788091304536],[1.82138241790242e-18]
Train,[0.003331554456680794],[5.46414725370726e-18]
Train,[0.003330258080340364],[1.092829450741452e-17]
Train,[0.004068332386648245],[-3.64276483580484e-18]
Train,[0.0032571297926626062],[-1.3113953408897423e-16]
Train,[0.0033286902771582816],[-1.092829450741452e-16]
Train,[0.0033937611088503523],[9.1069120895121e-18]
Train,[0.004063847429271538],[5.282009011917018e-17]
Train,[0.004155768417073336],[1.82138241790242e-18]
Train,[0.004120814088708669],[-5.46414725370726e-18]
Train,[0.0033905386846743027],[9.471188573092583e-17]
Train,[-0.013134215680230028],[-0.026621245462551197]
Train,[-0.0007278469105044569],[-5.688607871304142e-07]
Train,[-0.0007278469105040032],[-5.688607871322355e-07]
Train,[-0.008802818522025127],[-0.010823945532928939]
Train,[-0.022638816051463697],[-0.03225642570605386]
Train,[-0.0023586006952197127],[7.900587201402797e-05]
Train,[-0.0023586006952198346],[7.900587201395693e-05]
Train,[-0.016788006664452],[-0.01692222211298195]
Train,[0.0018698086617878538],[0.00021839714942577227]
Train,[0.018465187599856978],[0.03183374883540315]
Train,[0.012076837195646846],[0.020468388897137785]
Train,[0.0008250275528813584],[-0.00022558532345777192]
Train,[0.018188191721107177],[0.034430140265059306]
Train,[0.0015411378300797037],[-0.00014064887786440584]
Train,[0.0015722906576129147],[-0.00014859676587885906]
Train,[-0.0025137478950812745],[-0.004036594411177927]
Train,[0.0019327827868789386],[-1.4753197585009603e-16]
Train,[0.0020854299997198566],[2.185658901482904e-17]
Train,[0.0023511775157290856],[1.457105934321936e-17]
Train,[0.0015508915293222067],[1.639244176112178e-17]
Train,[-0.004165238584773865],[0.0002183971494257249]
Train,[0.00434565651709923],[0.020468388897137844]
Train,[0.011987521148913901],[0.03183374883540315]
Train,[-0.006207888742306943],[-0.00022558532345770454]
Train,[-0.027361054990428797],[-0.04565742741386274]
Train,[-0.00313277568646052],[-0.00018499056409219296]
Train,[-0.0031327756864604835],[-0.00018499056409211466]
Train,[-0.02783837580585495],[-0.07587345187227598]
Train,[-0.004018990461287165],[-0.000417703483878227]
Train,[-0.018727136155131423],[-0.03506887734551717]
Train,[-0.02764257245753152],[-0.04598491259983777]
Train,[-0.0028876118761083963],[0.00024937868650868835]
Train,[-0.0012244075725559521],[-1.274967692531694e-17]
Train,[-0.0009476684828225393],[1.5117474068590086e-16]
Train,[-0.0009781421706909128],[1.9853068355136378e-16]
Train,[-0.0007135234411560172],[-4.371317802965808e-17]
Train,[0.018155597604453226],[0.034430140265059465]
Train,[0.0015667415233092332],[-0.0001485967658787516]
Train,[0.0015357391902164706],[-0.00014064887786438763]
Train,[-0.0024995926669202097],[-0.00403659441117794]
Train,[-0.0012447996796992036],[-0.00041770348387830354]
Train,[-0.027930072350721435],[-0.04598491259983788]
Train,[-0.017365800348663172],[-0.03506887734551722]
Train,[0.0009679302086639681],[0.00024937868650867014]
Train,[-0.027939507511072322],[-0.04642098563854254]
Train,[-0.0013036844841258232],[-8.929989840338444e-05]
Train,[-0.0013036844841258215],[-8.92998984034318e-05]
Train,[-0.02558308095395717],[-0.04070587366488182]
Train,[0.00265646415252944],[8.742635605931616e-17]
Train,[0.0031447093834569523],[-3.096350110434114e-17]
Train,[0.0032021603818242505],[-2.367797143273146e-17]
Train,[0.003007895277337366],[1.274967692531694e-16]
Train,[0.0025723321191822527],[-1.4753197585009603e-16]
Train,[0.003221888764900766],[1.457105934321936e-17]
Train,[0.00307210636286382],[2.185658901482904e-17]
Train,[0.0032568808552259575],[1.639244176112178e-17]
Train,[0.004030778456197786],[-1.274967692531694e-17]
Train,[0.003160221201865371],[1.9853068355136378e-16]
Train,[0.0032558078502408585],[1.5117474068590086e-16]
Train,[0.0031458292959391934],[-4.371317802965808e-17]
Train,[0.003950850875901917],[8.742635605931616e-17]
Train,[0.003971383792413578],[-2.367797143273146e-17]
Train,[0.0038984014072123156],[-3.096350110434114e-17]
Train,[0.003326622785227127],[1.274967692531694e-16]
Train,[-0.013132913597721901],[-0.026634468268519597]
Train,[-0.000875563117239767],[5.783038463533851e-05]
Train,[-0.0008755631172397653],[5.7830384635351266e-05]
Train,[-0.008804860843112328],[-0.010832636499721451]
Train,[-0.0226345404518298],[-0.032258451158275296]
Train,[-0.002896817401058391],[-1.3271416039564208e-05]
Train,[-0.002896817401057575],[-1.3271416039666206e-05]
Train,[-0.01678133920781589],[-0.016905929475836967]
Train,[0.0011802641901348435],[3.667982742938658e-05]
Train,[-0.020740692010143332],[-0.03181689782676138]
Train,[-0.00817982009201904],[-0.020465344205368968]
Train,[0.0002793953477192597],[-3.7879038950043834e-05]
Train,[0.018180285591793736],[0.03437783697126322]
Train,[0.0010821094402787476],[2.359828106542327e-05]
