Data,Predicted,Reference
Train,[-0.02435658366865446],[-0.03225818565279794]
Train,[-0.007853613525265911],[-7.769851570889031e-07]
Train,[-0.007853613525276788],[-7.769851570670464e-07]
Train,[-0.01305357667431941],[-0.016908658625533646]
Train,[0.01530091515568495],[2.147515531627273e-06]
Train,[-0.03810564844166274],[-0.03181998237701682]
Train,[-0.02482213489145396],[-0.020466061799623576]
Train,[0.005612059633412033],[-2.2178075255649983e-06]
Train,[0.03388999561364505],[0.034386940850617984]
Train,[0.015507101360039834],[1.3818615606561856e-06]
Train,[0.015581554004105921],[1.4598582711141459e-06]
Train,[-0.011788672693747079],[-0.004030206474187189]
Train,[0.005315565510562864],[-9.471188573092583e-17]
Train,[0.007246194595505915],[5.46414725370726e-18]
Train,[0.0074082935988416115],[1.82138241790242e-18]
Train,[0.0018215196347618143],[1.092829450741452e-17]
Train,[0.003448355681516418],[2.1475155316309158e-06]
Train,[-0.012830206269288845],[-0.02046606179962359]
Train,[-0.024334648341723223],[-0.03181998237701695]
Train,[-0.004113840383145044],[-2.2178075256323896e-06]
Train,[-0.043375218391824934],[-0.04557838729447085]
Train,[0.0010369461745022266],[1.820191515441475e-06]
Train,[0.001036946174493903],[1.8201915155289015e-06]
Train,[-0.051366739537635354],[-0.07587621233758134]
Train,[-0.0055138246582073],[-4.1009506176001475e-06]
Train,[0.020950980244589315],[0.03502305871878561]
Train,[0.013498972198498905],[0.04596011552868171]
Train,[0.0005460301898541344],[2.452425396471171e-06]
Train,[-0.006037217841687692],[-3.64276483580484e-18]
Train,[0.0019682728228838397],[-1.092829450741452e-16]
Train,[0.00271450690562453],[-1.3113953408897423e-16]
Train,[-0.0009583477654172297],[9.1069120895121e-18]
Train,[0.03369593149681085],[0.034386940850618]
Train,[0.015099611284749112],[1.45985827106679e-06]
Train,[0.015030453013693485],[1.381861560628865e-06]
Train,[-0.012163368832785383],[-0.004030206474187182]
Train,[0.0004094995715482867],[-4.100950617578291e-06]
Train,[0.017963899872093948],[0.04596011552868179]
Train,[0.024599965739859724],[0.035023058718785624]
Train,[0.011081732365852965],[2.4524253964638855e-06]
Train,[-0.038568433951892384],[-0.04635304026034097]
Train,[-5.855752538422704e-05],[8.766607765741092e-07]
Train,[-5.855752539056727e-05],[8.766607766032513e-07]
Train,[-0.04054933777973666],[-0.040709636276467155]
Train,[0.0035948033367792878],[5.282009011917018e-17]
Train,[0.006609265592449926],[-5.46414725370726e-18]
Train,[0.007005316681359696],[1.82138241790242e-18]
Train,[0.0018690709661838374],[9.471188573092583e-17]
Train,[0.004481725386474971],[-9.471188573092583e-17]
Train,[0.01055714973279488],[1.82138241790242e-18]
Train,[0.00950299128598327],[5.46414725370726e-18]
Train,[0.005556414352318313],[1.092829450741452e-17]
Train,[0.0004504062256120775],[-3.64276483580484e-18]
Train,[0.004795363636080788],[-1.3113953408897423e-16]
Train,[0.004739151844171273],[-1.092829450741452e-16]
Train,[0.0044702248381651025],[9.1069120895121e-18]
Train,[0.0016698736906919612],[5.282009011917018e-17]
Train,[-0.0006703619376779031],[1.82138241790242e-18]
Train,[-7.591270471220687e-07],[-5.46414725370726e-18]
Train,[0.004696430182354055],[9.471188573092583e-17]
Train,[-0.02858555725438017],[-0.026621245462551197]
Train,[-0.014042992993252132],[-5.688607871304142e-07]
Train,[-0.014042992993258405],[-5.688607871322355e-07]
Train,[-0.009951720257762881],[-0.010823945532928939]
Train,[-0.02441812453137099],[-0.03225642570605386]
Train,[-0.007840637757925007],[7.900587201402797e-05]
Train,[-0.00784063775792481],[7.900587201395693e-05]
Train,[-0.013122237582473339],[-0.01692222211298195]
Train,[0.010571587692500288],[0.00021839714942577227]
Train,[0.026750388303971306],[0.03183374883540315]
Train,[0.008532972514049181],[0.020468388897137785]
Train,[-0.0004433296513620169],[-0.00022558532345777192]
Train,[0.033909515594858324],[0.034430140265059306]
Train,[0.011636791239732953],[-0.00014064887786440584]
Train,[0.01132990350875882],[-0.00014859676587885906]
Train,[-0.011768659221015918],[-0.004036594411177927]
Train,[0.004455954711903656],[-1.4753197585009603e-16]
Train,[0.0062286974709507585],[2.185658901482904e-17]
Train,[0.006871805798553523],[1.457105934321936e-17]
Train,[0.0016051088909654436],[1.639244176112178e-17]
Train,[0.004678053384042128],[0.0002183971494257249]
Train,[0.00934165710149658],[0.020468388897137844]
Train,[0.012718367926351693],[0.03183374883540315]
Train,[-0.0034300465715164687],[-0.00022558532345770454]
Train,[-0.04339146928290191],[-0.04565742741386274]
Train,[-0.0017583309804951798],[-0.00018499056409219296]
Train,[-0.0017583309804948682],[-0.00018499056409211466]
Train,[-0.05138417012831543],[-0.07587345187227598]
Train,[-0.009110754480689041],[-0.000417703483878227]
Train,[-0.03197886253297294],[-0.03506887734551717]
Train,[-0.04404954797731544],[-0.04598491259983777]
Train,[-0.0020417326701759166],[0.00024937868650868835]
Train,[-0.005092090961127426],[-1.274967692531694e-17]
Train,[0.0027681906004900503],[1.5117474068590086e-16]
Train,[0.0036503494937125316],[1.9853068355136378e-16]
Train,[0.0028440107599821685],[-4.371317802965808e-17]
Train,[0.033713538442422294],[0.034430140265059465]
Train,[0.010744514997822434],[-0.0001485967658787516]
Train,[0.011051059330163997],[-0.00014064887786438763]
Train,[-0.012151213570434059],[-0.00403659441117794]
Train,[-0.0011339519117443708],[-0.00041770348387830354]
Train,[-0.03940274631270079],[-0.04598491259983788]
Train,[-0.034558439319610675],[-0.03506887734551722]
Train,[0.007120292974576837],[0.00024937868650867014]
Train,[-0.03856410916767827],[-0.04642098563854254]
Train,[-0.0007139061344718299],[-8.929989840338444e-05]
Train,[-0.0007139061344719264],[-8.92998984034318e-05]
Train,[-0.04054839436462549],[-0.04070587366488182]
Train,[0.0025254376129109205],[8.742635605931616e-17]
