Data,Predicted,Reference
Train,[-0.01237766576714645],[-0.03225818565279794]
Train,[0.0018872861979063247],[-7.769851570889031e-07]
Train,[0.0018872861979043138],[-7.769851570670464e-07]
Train,[-0.005125166049347741],[-0.016908658625533646]
Train,[0.0031756057877206484],[2.147515531627273e-06]
Train,[-0.011945638286639413],[-0.03181998237701682]
Train,[-0.0013776858454384025],[-0.020466061799623576]
Train,[0.003511738461908377],[-2.2178075255649983e-06]
Train,[0.0076206253092192715],[0.034386940850617984]
Train,[0.003055667940368866],[1.3818615606561856e-06]
Train,[0.003078803365027743],[1.4598582711141459e-06]
Train,[0.002123154709806688],[-0.004030206474187189]
Train,[0.0015334945486774406],[-9.471188573092583e-17]
Train,[0.00216492492636639],[5.46414725370726e-18]
Train,[0.0025028144093116296],[1.82138241790242e-18]
Train,[0.0023311995409616604],[1.092829450741452e-17]
Train,[-0.0011391620711733669],[2.1475155316309158e-06]
Train,[-0.006476704842231596],[-0.02046606179962359]
Train,[-0.014617931507996841],[-0.03181998237701695]
Train,[-0.001985576910419869],[-2.2178075256323896e-06]
Train,[-0.014135967530299848],[-0.04557838729447085]
Train,[-0.0015249774041052307],[1.820191515441475e-06]
Train,[-0.0015249774041055184],[1.8201915155289015e-06]
Train,[-0.02370563506920806],[-0.07587621233758134]
Train,[-0.003019600214562712],[-4.1009506176001475e-06]
Train,[0.0006324229535559588],[0.03502305871878561]
Train,[0.0010574954442622861],[0.04596011552868171]
Train,[-0.0015941045946018912],[2.452425396471171e-06]
Train,[-0.0018306109160784285],[-3.64276483580484e-18]
Train,[-0.0013425649114856783],[-1.092829450741452e-16]
Train,[-0.0013694530323073969],[-1.3113953408897423e-16]
Train,[-0.0006211767679735747],[9.1069120895121e-18]
Train,[0.007550243758337573],[0.034386940850618]
Train,[0.0029847222705265074],[1.45985827106679e-06]
Train,[0.002961776548078569],[1.381861560628865e-06]
Train,[0.0020209893065717675],[-0.004030206474187182]
Train,[-0.00042643657293654915],[-4.100950617578291e-06]
Train,[0.0027729010296563316],[0.04596011552868179]
Train,[0.003597396407982729],[0.035023058718785624]
Train,[0.0012205702387120476],[2.4524253964638855e-06]
Train,[-0.017818442901529397],[-0.04635304026034097]
Train,[-0.00042120358915055005],[8.766607765741092e-07]
Train,[-0.00042120358915391596],[8.766607766032513e-07]
Train,[-0.016614521174061096],[-0.040709636276467155]
Train,[0.0005987552139745461],[5.282009011917018e-17]
Train,[0.0006598332024737487],[-5.46414725370726e-18]
