Time,Iteration,Cost,Parameters
Sat Nov 23 13:49:47 2024,1280,0.020655407679941937,[-2.99901175  2.34172957 -2.18686826 -0.16204194  0.59626169 -2.82216439
  3.12707043  2.1465361   0.99114617 -0.94084333  0.67913904  0.90937936
  1.34689679 -1.91697717  1.0339578   2.92480763 -0.36115928 -0.37504931
 -1.92252253  0.85379394  1.815962    2.76044141 -1.16585632 -0.34507751
 -2.45985515 -2.18958842  3.12966097  2.44299769 -0.74465313 -2.82038761
  1.40690546 -0.00677272 -2.42831671  2.17990204  1.52418734 -0.65222486
  0.9487374  -1.54562396 -0.38035224  2.45686902 -0.03149842  0.7327323
  2.88570131  1.01654859  3.09000056  2.94664674  2.92594936 -2.7992736
  0.05129664 -0.33923657  1.45998618  2.80854834 -0.43483989 -2.32747912
  2.42980281 -3.05694843  0.71759758 -0.62416103 -1.87161124  2.6870183
 -1.85562694 -1.66230268 -2.52450494  2.15922861 -2.23824093  2.18447092
  2.22618297  1.70323286  2.36057474  2.85428427  1.62987572  1.7114411
 -1.90809001 -2.20408462  1.26778712]
Sat Nov 23 14:00:42 2024,1281,0.020169719370473838,[-2.99750455  2.34323677 -2.18837546 -0.16053474  0.59776889 -2.82065719
  3.12857763  2.1450289   0.99265337 -0.94235053  0.68064624  0.91088656
  1.34538959 -1.91546997  1.035465    2.92330043 -0.35965208 -0.37354211
 -1.92402973  0.85228674  1.8144548   2.75893421 -1.16434912 -0.34658471
 -2.46136235 -2.19109562  3.13116817  2.4445049  -0.74314593 -2.81888041
  1.40539826 -0.00827992 -2.42982391  2.17839484  1.52569454 -0.65373206
  0.9502446  -1.54713116 -0.38185944  2.45536182 -0.02999122  0.7312251
  2.88419411  1.01504139  3.09150776  2.94815394  2.92444216 -2.8007808
  0.04978944 -0.33772937  1.45847898  2.81005554 -0.43634709 -2.32898632
  2.42829561 -3.05544123  0.71609038 -0.62265383 -1.87311844  2.6855111
 -1.85411974 -1.66079548 -2.52299774  2.16073581 -2.23974813  2.18597812
  2.22467577  1.70172566  2.35906754  2.85579147  1.63138292  1.7129483
 -1.90959721 -2.20257742  1.26627992]
Sat Nov 23 14:11:35 2024,1282,0.01940720982338673,[-2.99898329  2.34471551 -2.18985421 -0.16201348  0.59924763 -2.81917845
  3.12709889  2.14650764  0.99413211 -0.94382928  0.6791675   0.90940782
  1.34391085 -1.91399123  1.03694374  2.92477917 -0.36113082 -0.37502085
 -1.92550847  0.85376548  1.81593354  2.75745547 -1.16582786 -0.34806345
 -2.46284109 -2.19257436  3.12968943  2.44302615 -0.74166719 -2.81740167
  1.406877   -0.00680118 -2.43130265  2.17987358  1.52421579 -0.65225332
  0.94876586 -1.54860991 -0.38333819  2.45684056 -0.03146996  0.73270384
  2.88271537  1.01652014  3.0929865   2.94963268  2.92296342 -2.79930205
  0.05126819 -0.33920811  1.45995772  2.81153428 -0.43782583 -2.32750758
  2.42977435 -3.05691997  0.71756912 -0.62413257 -1.87459718  2.68698985
 -1.85264099 -1.66227422 -2.521519    2.15925707 -2.24122687  2.18449938
  2.22319702  1.70024692  2.3575888   2.85727021  1.62990418  1.71442704
 -1.90811847 -2.20405616  1.26480118]
Sat Nov 23 14:22:31 2024,1283,0.01904768777523476,[-2.99379697e+00  2.34990183e+00 -2.19504052e+00 -1.56827162e-01
  6.04433952e-01 -2.81399213e+00  3.12191257e+00  2.15169396e+00
  9.88945796e-01 -9.49015595e-01  6.84353821e-01  9.14594141e-01
  1.33872453e+00 -1.91917755e+00  1.03175743e+00  2.91959285e+00
 -3.66317140e-01 -3.69834529e-01 -1.92032215e+00  8.58951797e-01
  1.82111986e+00  2.75226915e+00 -1.16064154e+00 -3.42877132e-01
 -2.45765477e+00 -2.19776068e+00  3.12450311e+00  2.43783983e+00
 -7.46853509e-01 -2.82258799e+00  1.41206332e+00 -1.61485809e-03
 -2.42611633e+00  2.18505990e+00  1.52940211e+00 -6.47066998e-01
  9.53952178e-01 -1.54342359e+00 -3.88524505e-01  2.45165424e+00
 -3.66562768e-02  7.27517525e-01  2.87752905e+00  1.01133382e+00
  3.08780018e+00  2.95481900e+00  2.91777710e+00 -2.79411574e+00
  5.64545051e-02 -3.34021792e-01  1.45477140e+00  2.81672060e+00
 -4.43012147e-01 -2.33269390e+00  2.42458803e+00 -3.05173365e+00
  7.12382800e-01 -6.18946248e-01 -1.86941086e+00  2.68180353e+00
 -1.84745468e+00 -1.65708790e+00 -2.51633268e+00  2.16444338e+00
 -2.24641319e+00  2.17931306e+00  2.22838334e+00  1.69506060e+00
  2.36277512e+00  2.86245653e+00  1.63509050e+00  1.70924073e+00
 -1.91330479e+00 -2.19886984e+00  1.25961486e+00]
Sat Nov 23 14:33:22 2024,1284,0.020687697083198744,[-2.99308770e+00  2.34919256e+00 -2.19433125e+00 -1.57536433e-01
  6.05143223e-01 -2.81328286e+00  3.12120330e+00  2.15240323e+00
  9.89655066e-01 -9.48306324e-01  6.83644550e-01  9.15303412e-01
  1.33801526e+00 -1.91846828e+00  1.03246670e+00  2.91888358e+00
 -3.65607869e-01 -3.70543800e-01 -1.91961288e+00  8.58242527e-01
  1.82041059e+00  2.75155988e+00 -1.16135081e+00 -3.42167862e-01
 -2.45694550e+00 -2.19705141e+00  3.12379384e+00  2.43713056e+00
 -7.47562779e-01 -2.82329726e+00  1.41135405e+00 -2.32412868e-03
 -2.42682560e+00  2.18576917e+00  1.52869284e+00 -6.47776269e-01
  9.53242907e-01 -1.54271432e+00 -3.89233776e-01  2.45094497e+00
 -3.73655474e-02  7.26808254e-01  2.87823832e+00  1.01062455e+00
  3.08709091e+00  2.95552827e+00  2.91848637e+00 -2.79340646e+00
  5.71637757e-02 -3.34731063e-01  1.45406213e+00  2.81601133e+00
 -4.42302877e-01 -2.33198463e+00  2.42387876e+00 -3.05102438e+00
  7.11673529e-01 -6.18236977e-01 -1.86870159e+00  2.68251280e+00
 -1.84816395e+00 -1.65779717e+00 -2.51562341e+00  2.16515266e+00
 -2.24712246e+00  2.18002233e+00  2.22767407e+00  1.69576987e+00
  2.36206585e+00  2.86174726e+00  1.63579977e+00  1.70995000e+00
 -1.91401406e+00 -2.19957911e+00  1.26032413e+00]
Sat Nov 23 14:44:16 2024,1285,0.019488893064665152,[-2.9910901   2.34719496 -2.19233365 -0.15553883  0.60314562 -2.81128526
  3.1232009   2.15440083  0.98765747 -0.95030392  0.68164695  0.91730101
  1.34001286 -1.92046588  1.0344643   2.92088118 -0.36361027 -0.3725414
 -1.92161048  0.85624493  1.82240819  2.74956228 -1.15935321 -0.34017026
