Data,Predicted,Reference
Train,[-0.022287222387369753],[-0.03225818565279794]
Train,[0.01031841210369232],[-7.769851570889031e-07]
Train,[0.010318412103695886],[-7.769851570670464e-07]
Train,[-0.015088805672645665],[-0.016908658625533646]
Train,[0.007170834144550481],[2.147515531627273e-06]
Train,[-0.022636976300451188],[-0.03181998237701682]
Train,[-0.009843003116044467],[-0.020466061799623576]
Train,[0.009214550361290402],[-2.2178075255649983e-06]
Train,[0.027065630867441806],[0.034386940850617984]
Train,[0.00709973973020962],[1.3818615606561856e-06]
Train,[0.007068078880904779],[1.4598582711141459e-06]
Train,[-0.0021372116085710156],[-0.004030206474187189]
Train,[0.007179544878664717],[-9.471188573092583e-17]
Train,[0.006934865917267212],[5.46414725370726e-18]
Train,[0.006118773860785792],[1.82138241790242e-18]
Train,[0.008025263810726487],[1.092829450741452e-17]
Train,[-0.0019345057494951612],[2.1475155316309158e-06]
Train,[-0.014606558993728728],[-0.02046606179962359]
Train,[-0.02832255431934102],[-0.03181998237701695]
Train,[-0.002987782446535041],[-2.2178075256323896e-06]
Train,[-0.03373331176601824],[-0.04557838729447085]
Train,[0.0004699659421890403],[1.820191515441475e-06]
Train,[0.00046996594219039176],[1.8201915155289015e-06]
Train,[-0.033276876789627936],[-0.07587621233758134]
Train,[0.001810006403072033],[-4.1009506176001475e-06]
Train,[0.01705172790687959],[0.03502305871878561]
Train,[0.016895897255480106],[0.04596011552868171]
Train,[0.0005866610684365079],[2.452425396471171e-06]
Train,[0.0052931636243223725],[-3.64276483580484e-18]
Train,[0.004628051048559724],[-1.092829450741452e-16]
Train,[0.004573057234672786],[-1.3113953408897423e-16]
Train,[0.004346585419893673],[9.1069120895121e-18]
Train,[0.027134001259607347],[0.034386940850618]
Train,[0.0070494216226554005],[1.45985827106679e-06]
Train,[0.007080759492249375],[1.381861560628865e-06]
Train,[-0.0021654301931370045],[-0.004030206474187182]
Train,[0.002690832067293782],[-4.100950617578291e-06]
Train,[0.02384525260762747],[0.04596011552868179]
Train,[0.019772509456252415],[0.035023058718785624]
Train,[0.003951722526806371],[2.4524253964638855e-06]
Train,[-0.029267227143677927],[-0.04635304026034097]
Train,[0.0032123897364616403],[8.766607765741092e-07]
Train,[0.003212389736446603],[8.766607766032513e-07]
Train,[-0.02907897003870473],[-0.040709636276467155]
Train,[0.008449238371122643],[5.282009011917018e-17]
Train,[0.007286002675160785],[-5.46414725370726e-18]
Train,[0.007192655886128001],[1.82138241790242e-18]
Train,[0.007287538925798765],[9.471188573092583e-17]
Train,[0.0010964439039304478],[-9.471188573092583e-17]
Train,[0.0017227453714873011],[1.82138241790242e-18]
Train,[0.001484514293983259],[5.46414725370726e-18]
Train,[0.0015549563807211648],[1.092829450741452e-17]
Train,[0.0032521030313367527],[-3.64276483580484e-18]
Train,[0.0019974355599364792],[-1.3113953408897423e-16]
Train,[0.0020693618633563175],[-1.092829450741452e-16]
Train,[0.0019530652269958708],[9.1069120895121e-18]
Train,[0.0035416890215429243],[5.282009011917018e-17]
Train,[0.0034380838996662384],[1.82138241790242e-18]
Train,[0.0033691563596258585],[-5.46414725370726e-18]
Train,[0.0021615939271704587],[9.471188573092583e-17]
Train,[-0.01805701943959016],[-0.026621245462551197]
Train,[0.0008662203139009127],[-5.688607871304142e-07]
Train,[0.0008662203139002532],[-5.688607871322355e-07]
Train,[-0.011231261379422345],[-0.010823945532928939]
Train,[-0.022285576430961802],[-0.03225642570605386]
Train,[0.009413210698559505],[7.900587201402797e-05]
Train,[0.009413210698559535],[7.900587201395693e-05]
Train,[-0.015094146279374273],[-0.01692222211298195]
Train,[0.006143491713613174],[0.00021839714942577227]
Train,[0.030840657080722398],[0.03183374883540315]
Train,[0.020789955739089382],[0.020468388897137785]
Train,[0.007887918465565472],[-0.00022558532345777192]
Train,[0.02705616231250521],[0.034430140265059306]
Train,[0.0057372292756072705],[-0.00014064887786440584]
Train,[0.005676102171663269],[-0.00014859676587885906]
Train,[-0.002147570745284962],[-0.004036594411177927]
Train,[0.007290541960447927],[-1.4753197585009603e-16]
Train,[0.007324994413314901],[2.185658901482904e-17]
Train,[0.0071158094984026515],[1.457105934321936e-17]
Train,[0.0081063728221928],[1.639244176112178e-17]
Train,[-0.0008633098940708957],[0.0002183971494257249]
Train,[0.011481644692675716],[0.020468388897137844]
Train,[0.0170976793853027],[0.03183374883540315]
Train,[-0.0020541505205839464],[-0.00022558532345770454]
Train,[-0.03377043237537102],[-0.04565742741386274]
Train,[0.0006182130866045103],[-0.00018499056409219296]
Train,[0.0006182130866045066],[-0.00018499056409211466]
Train,[-0.03329627560195068],[-0.07587345187227598]
Train,[0.001531443881837933],[-0.000417703483878227]
Train,[-0.021770322644028853],[-0.03506887734551717]
Train,[-0.034208415722828206],[-0.04598491259983777]
Train,[0.0010610007608328619],[0.00024937868650868835]
Train,[0.005259039438869447],[-1.274967692531694e-17]
Train,[0.004552066073270248],[1.5117474068590086e-16]
Train,[0.004478030503144913],[1.9853068355136378e-16]
Train,[0.0040892504471907575],[-4.371317802965808e-17]
Train,[0.027126303024520758],[0.034430140265059465]
Train,[0.005667479617860672],[-0.0001485967658787516]
Train,[0.005728360112157972],[-0.00014064887786438763]
Train,[-0.0021762647779031276],[-0.00403659441117794]
Train,[0.0008837483139944003],[-0.00041770348387830354]
Train,[-0.03086375931441608],[-0.04598491259983788]
Train,[-0.021592063819721764],[-0.03506887734551722]
Train,[0.002699775230354679],[0.00024937868650867014]
Train,[-0.029262051711225312],[-0.04642098563854254]
Train,[0.0015938023025702595],[-8.929989840338444e-05]
Train,[0.0015938023025700153],[-8.92998984034318e-05]
Train,[-0.02907339323295757],[-0.04070587366488182]
Train,[0.00852542727395508],[8.742635605931616e-17]
Train,[0.007673593291169311],[-3.096350110434114e-17]
Train,[0.007579258495933801],[-2.367797143273146e-17]
Train,[0.007344336935240546],[1.274967692531694e-16]
Train,[0.0010283228741507528],[-1.4753197585009603e-16]
Train,[0.0014140269311817204],[1.457105934321936e-17]
Train,[0.0013179529683067343],[2.185658901482904e-17]
Train,[0.0015156301494634312],[1.639244176112178e-17]
Train,[0.003186871804722819],[-1.274967692531694e-17]
Train,[0.0019083016039772832],[1.9853068355136378e-16]
Train,[0.0019995607817672426],[1.5117474068590086e-16]
Train,[0.0017039316777260171],[-4.371317802965808e-17]
Train,[0.0033758875227232364],[8.742635605931616e-17]
Train,[0.0031162073862942207],[-2.367797143273146e-17]
Train,[0.003006707570148561],[-3.096350110434114e-17]
Train,[0.002097781579408749],[1.274967692531694e-16]
Train,[-0.01805063475141224],[-0.026634468268519597]
Train,[0.0015828980647511837],[5.783038463533851e-05]
Train,[0.0015828980647511655],[5.7830384635351266e-05]
Train,[-0.0112361819132588],[-0.010832636499721451]
Train,[-0.02228755892470536],[-0.032258451158275296]
Train,[0.009725736825430495],[-1.3271416039564208e-05]
Train,[0.00972573682542966],[-1.3271416039666206e-05]
Train,[-0.015087776266162522],[-0.016905929475836967]
Train,[0.006488333413013751],[3.667982742938658e-05]
Train,[-0.02263486784886601],[-0.03181689782676138]
Train,[-0.009842753977530332],[-0.020465344205368968]
Train,[0.008547037213649479],[-3.7879038950043834e-05]
Train,[0.02706752385449838],[0.03437783697126322]
