Data,Predicted,Reference
Train,[-0.013264829857164914],[-0.03225818565279794]
Train,[-0.012076348781425807],[-7.769851570889031e-07]
Train,[-0.012076348781451507],[-7.769851570670464e-07]
Train,[-0.005526062108653015],[-0.016908658625533646]
Train,[0.007854250134995345],[2.147515531627273e-06]
Train,[-0.03940119468671562],[-0.03181998237701682]
Train,[-0.021183224332364924],[-0.020466061799623576]
Train,[-0.003206456525845377],[-2.2178075255649983e-06]
Train,[0.031099504265686282],[0.034386940850617984]
Train,[0.007703684053974953],[1.3818615606561856e-06]
Train,[0.007970719349670785],[1.4598582711141459e-06]
Train,[-0.007957768913276863],[-0.004030206474187189]
Train,[0.0018230021892372131],[-9.471188573092583e-17]
Train,[0.004901822938293119],[5.46414725370726e-18]
Train,[0.005812885523494503],[1.82138241790242e-18]
Train,[-0.0028061672079647934],[1.092829450741452e-17]
Train,[-0.0020510876041895413],[2.1475155316309158e-06]
Train,[-0.013048238042114276],[-0.02046606179962359]
Train,[-0.013054764494070357],[-0.03181998237701695]
Train,[-0.01279928341980004],[-2.2178075256323896e-06]
Train,[-0.034424861895125176],[-0.04557838729447085]
Train,[0.0015712307113930932],[1.820191515441475e-06]
Train,[0.0015712307114086478],[1.8201915155289015e-06]
Train,[-0.04613386199183074],[-0.07587621233758134]
Train,[-0.006886690964634992],[-4.1009506176001475e-06]
Train,[0.023443429453656604],[0.03502305871878561]
Train,[0.011690096304530672],[0.04596011552868171]
Train,[0.0012611438756389875],[2.452425396471171e-06]
Train,[-0.006513608727269646],[-3.64276483580484e-18]
Train,[0.001522679119320526],[-1.092829450741452e-16]
Train,[0.002388823334965673],[-1.3113953408897423e-16]
Train,[-0.002061138268646688],[9.1069120895121e-18]
Train,[0.030918447595489503],[0.034386940850618]
Train,[0.007703903402753861],[1.45985827106679e-06]
Train,[0.007443156561566321],[1.381861560628865e-06]
Train,[-0.008184690249587574],[-0.004030206474187182]
Train,[-0.005686500259665029],[-4.100950617578291e-06]
Train,[0.010456401401750732],[0.04596011552868179]
Train,[0.0213416519510468],[0.035023058718785624]
Train,[0.005509904922964921],[2.4524253964638855e-06]
Train,[-0.029578113589689207],[-0.04635304026034097]
Train,[-0.007061802905059602],[8.766607765741092e-07]
Train,[-0.007061802905044215],[8.766607766032513e-07]
Train,[-0.03457561329027677],[-0.040709636276467155]
Train,[-0.007029237931934434],[5.282009011917018e-17]
Train,[0.000610713560161389],[-5.46414725370726e-18]
Train,[0.0012330144415119558],[1.82138241790242e-18]
Train,[-0.0026124816950830357],[9.471188573092583e-17]
Train,[0.004078266267555675],[-9.471188573092583e-17]
Train,[0.012986444261778569],[1.82138241790242e-18]
Train,[0.008993876406899252],[5.46414725370726e-18]
Train,[0.0006273676177863473],[1.092829450741452e-17]
Train,[0.008226050780964621],[-3.64276483580484e-18]
Train,[0.007941205173000298],[-1.3113953408897423e-16]
Train,[0.008735532654109137],[-1.092829450741452e-16]
Train,[0.013057101768228706],[9.1069120895121e-18]
Train,[0.0031734966086211292],[5.282009011917018e-17]
Train,[0.007362832153724388],[1.82138241790242e-18]
Train,[0.0075473379385914],[-5.46414725370726e-18]
Train,[0.008762483613980713],[9.471188573092583e-17]
Train,[-0.023923394804363677],[-0.026621245462551197]
Train,[-0.022226894578365557],[-5.688607871304142e-07]
Train,[-0.022226894578371136],[-5.688607871322355e-07]
Train,[-0.012829046945276385],[-0.010823945532928939]
Train,[-0.013349157993893726],[-0.03225642570605386]
Train,[-0.007273870359336141],[7.900587201402797e-05]
Train,[-0.0072738703593363775],[7.900587201395693e-05]
Train,[-0.00559141971965957],[-0.01692222211298195]
Train,[0.009897554063855143],[0.00021839714942577227]
Train,[0.02445117782746429],[0.03183374883540315]
Train,[0.009541341904548807],[0.020468388897137785]
Train,[-0.0021784990423804928],[-0.00022558532345777192]
Train,[0.031102264993784424],[0.034430140265059306]
Train,[0.010643309621410689],[-0.00014064887786440584]
Train,[0.010537797104226277],[-0.00014859676587885906]
Train,[-0.007937363326150434],[-0.004036594411177927]
Train,[0.00019624844919749164],[-1.4753197585009603e-16]
Train,[0.0026775649652974356],[2.185658901482904e-17]
Train,[0.004054882222562279],[1.457105934321936e-17]
Train,[-0.0033725162095055313],[1.639244176112178e-17]
Train,[0.0004259146198297391],[0.0002183971494257249]
Train,[0.0036999632604414103],[0.020468388897137844]
Train,[0.0046610175902612365],[0.03183374883540315]
Train,[-0.010273065550275415],[-0.00022558532345770454]
Train,[-0.03447304986462602],[-0.04565742741386274]
Train,[0.00128407569027166],[-0.00018499056409219296]
Train,[0.0012840756902718603],[-0.00018499056409211466]
Train,[-0.0461196574578441],[-0.07587345187227598]
Train,[-0.007690618013316367],[-0.000417703483878227]
Train,[-0.02557418829663245],[-0.03506887734551717]
Train,[-0.03580267630487637],[-0.04598491259983777]
Train,[0.001275996432617983],[0.00024937868650868835]
Train,[-0.00530904068913625],[-1.274967692531694e-17]
Train,[0.002461985050668239],[1.5117474068590086e-16]
Train,[0.0034672591149128855],[1.9853068355136378e-16]
Train,[0.002489989521535531],[-4.371317802965808e-17]
Train,[0.03091863006733693],[0.034430140265059465]
Train,[0.01013973772009743],[-0.0001485967658787516]
Train,[0.010245665266247456],[-0.00014064887786438763]
Train,[-0.008169533106115293],[-0.00403659441117794]
Train,[-0.003793193759320444],[-0.00041770348387830354]
Train,[-0.03451399656025999],[-0.04598491259983788]
Train,[-0.028148278422557335],[-0.03506887734551722]
Train,[0.007370870523892226],[0.00024937868650867014]
Train,[-0.029568493703108188],[-0.04642098563854254]
Train,[-0.004846838604906023],[-8.929989840338444e-05]
Train,[-0.004846838604905693],[-8.92998984034318e-05]
Train,[-0.0345584308866436],[-0.04070587366488182]
Train,[-0.008166842455451281],[8.742635605931616e-17]
Train,[-0.002973825719592026],[-3.096350110434114e-17]
Train,[-0.0019093503054596595],[-2.367797143273146e-17]
Train,[-0.0035284398981306046],[1.274967692531694e-16]
Train,[0.002210639348927948],[-1.4753197585009603e-16]
Train,[0.007438979483000576],[1.457105934321936e-17]
Train,[0.005245194382364678],[2.185658901482904e-17]
Train,[-0.00022136233286560486],[1.639244176112178e-17]
Train,[0.008276778085605044],[-1.274967692531694e-17]
Train,[0.006775998558250321],[1.9853068355136378e-16]
Train,[0.00788931295317973],[1.5117474068590086e-16]
Train,[0.010279811772593036],[-4.371317802965808e-17]
Train,[0.002982376456687751],[8.742635605931616e-17]
Train,[0.007656789381062567],[-2.367797143273146e-17]
Train,[0.007480513409413999],[-3.096350110434114e-17]
Train,[0.008066174239887761],[1.274967692531694e-16]
Train,[-0.023973104815788668],[-0.026634468268519597]
Train,[-0.016360108448448665],[5.783038463533851e-05]
Train,[-0.016360108448448662],[5.7830384635351266e-05]
Train,[-0.012839250084500903],[-0.010832636499721451]
Train,[-0.013247351302977696],[-0.032258451158275296]
Train,[-0.00869069531602293],[-1.3271416039564208e-05]
Train,[-0.008690695316019521],[-1.3271416039666206e-05]
Train,[-0.005512309881178253],[-0.016905929475836967]
Train,[0.010435772679050137],[3.667982742938658e-05]
Train,[-0.039393202997625776],[-0.03181689782676138]
Train,[-0.021188869917015185],[-0.020465344205368968]
Train,[-0.0014710128183746305],[-3.7879038950043834e-05]
Train,[0.03109881967633288],[0.03437783697126322]
Train,[0.010976175745085208],[2.359828106542327e-05]
Train,[0.011014998045212557],[2.4929931815233868e-05]
Train,[-0.007961859406951434],[-0.004028753092825896]
Train,[0.002101505597519504],[-8.19622088056089e-17]
Train,[0.0019295288579729176],[1.82138241790242e-17]
Train,[0.0029286455424277712],[1.274967692531694e-17]
Train,[-0.0022956889674734743],[7.28552967160968e-18]
Train,[0.00037926833579923053],[3.667982742931737e-05]
Train,[-0.013050203368404643],[-0.02046534420536899]
Train,[-0.013067672615785298],[-0.031816897826761434]
Train,[-0.010309257682667524],[-3.787903895011487e-05]
Train,[-0.03441497695007363],[-0.045562209296626306]
Train,[0.0023037439329943606],[3.1093243300779163e-05]
