Data,Predicted,Reference
Train,[-0.017317266420345107],[-0.03226940037094543]
Train,[0.008152245524449965],[3.3812637391277346e-05]
Train,[0.008152245524449958],[3.381263739130757e-05]
Train,[-0.009846193166326431],[-0.01687742558712186]
Train,[0.005177125434762519],[-9.34939435929671e-05]
Train,[-0.0280598467178831],[-0.03176836869224577]
Train,[-0.010186596478672387],[-0.020474436116792543]
Train,[0.007348042115730276],[9.659572605631351e-05]
Train,[0.023100543000027857],[0.03425765687555636]
Train,[0.004742638868571266],[-6.001893155162468e-05]
Train,[0.004831247577021184],[-6.340968074502018e-05]
Train,[-0.0005049674440509942],[-0.003995633173714113]
Train,[0.0067200089060395285],[1.0842319770311854e-16]
Train,[0.005462771926829625],[1.777429470542927e-17]
Train,[0.0052154785179890336],[8.887147352714636e-18]
Train,[0.0034513669039635975],[-1.2442006293800489e-17]
Train,[0.005579658492059446],[-9.349394359305419e-05]
Train,[-0.005270018300884945],[-0.020474436116792536]
Train,[-0.02050112685910383],[-0.03176836869224569]
Train,[0.0047791993054726815],[9.659572605621041e-05]
Train,[-0.02890514706578285],[-0.045354735234212094]
Train,[0.0007027359164401257],[-7.939471411263581e-05]
Train,[0.0007027359164397543],[-7.939471411268913e-05]
Train,[-0.04449751546502197],[-0.07608000814134794]
Train,[-0.0054696836045663305],[0.00017812336655376662]
Train,[-0.005014860672559908],[0.03498159400194559]
Train,[0.004881866437994239],[0.04607384217806463]
Train,[9.625018995504477e-05],[-0.0001073774975570568]
Train,[0.009058403048549976],[0.0]
Train,[0.010876213930044062],[9.598119140931806e-17]
Train,[0.010550524919556424],[1.386394987023483e-16]
Train,[0.012331927553917056],[3.732601888140147e-17]
Train,[0.02303503795666007],[0.034257656875556444]
Train,[0.004830550872731906],[-6.340968074502551e-05]
Train,[0.004741530003522574],[-6.001893155153758e-05]
Train,[-0.0005322380205493371],[-0.00399563317371406]
Train,[-0.007573205489204447],[0.00017812336655377375]
Train,[0.022781068076020282],[0.0460738421780646]
Train,[0.021727822870278083],[0.03498159400194556]
Train,[-0.0015005915401253161],[-0.0001073774975570977]
Train,[-0.0324568131072308],[-0.046330250735072395]
Train,[-0.007876692649437035],[-3.799781261486621e-05]
Train,[-0.00787669264943687],[-3.799781261485199e-05]
Train,[-0.03506448827590273],[-0.04084380732011396]
Train,[0.005028071551822104],[-6.57648904100883e-17]
Train,[0.007511470746146487],[-2.310658311705805e-17]
Train,[0.007776990401838695],[-8.887147352714636e-18]
Train,[0.008262720074693471],[-7.82068967038888e-17]
Train,[-0.004113466063142134],[1.0842319770311854e-16]
Train,[-0.004265364997939916],[8.887147352714636e-18]
Train,[-0.004010223593085534],[1.777429470542927e-17]
Train,[-0.0025289774977485724],[-1.2442006293800489e-17]
Train,[0.002444241473088256],[0.0]
Train,[0.000940908801539306],[1.386394987023483e-16]
Train,[0.000874890935884621],[9.598119140931806e-17]
Train,[-0.001160195678618671],[3.732601888140147e-17]
Train,[0.0055405413343401246],[-6.57648904100883e-17]
Train,[0.0022848778697320917],[-8.887147352714636e-18]
Train,[0.002851436604250122],[-2.310658311705805e-17]
Train,[0.0011783538482479082],[-7.82068967038888e-17]
Train,[-0.0159440760668414],[-0.026566150500009114]
Train,[0.003832183281322796],[2.479425963574095e-05]
Train,[0.003832183281322775],[2.479425963572851e-05]
Train,[-0.00487910255157676],[-0.010807136938606573]
Train,[-0.017379183873592642],[-0.03225551145287119]
Train,[0.008165404131207615],[3.0148131391562093e-05]
Train,[0.008165404131207572],[3.01481313915692e-05]
Train,[-0.009877840684306962],[-0.016904003259751714]
Train,[0.005253090088547526],[8.32970066207358e-05]
Train,[0.015431466278166595],[0.03182108918961165]
Train,[0.019707143630199153],[0.020458539128616726]
Train,[0.007143286997280604],[-8.598995431874713e-05]
Train,[0.023136909191499393],[0.03438096348558747]
Train,[0.00465741202506733],[-5.358999134599733e-05]
Train,[0.0047476661659590766],[-5.6609405080778795e-05]
Train,[-0.0005081003530961726],[-0.0040343445372490955]
Train,[0.007154961846186807],[-4.4435736763573173e-17]
Train,[0.005431718832928718],[7.109717882171708e-18]
Train,[0.005478311073680205],[1.777429470542927e-18]
Train,[0.003452974385346618],[5.332288411628781e-18]
Train,[0.005685821001445856],[8.329700662083356e-05]
Train,[0.006047423089533136],[0.020458539128616712]
Train,[0.003949969951499517],[0.03182108918961196]
Train,[0.004678574269570761],[-8.598995431869914e-05]
Train,[-0.029018758714054852],[-0.04556579810906635]
Train,[0.0008845229675689003],[-7.06078945070657e-05]
Train,[0.0008845229675688541],[-7.06078945070746e-05]
Train,[-0.04455245789400111],[-0.07580017164278803]
Train,[-0.005352154558817281],[-0.00015889840017183413]
Train,[-0.017687391293599874],[-0.03497868039637685]
Train,[-0.029285794723231597],[-0.04588306859071482]
Train,[0.00033631568069378704],[9.492673473007185e-05]
Train,[0.009533372788680494],[5.332288411628781e-18]
Train,[0.011824483042435925],[2.6661442058143905e-17]
Train,[0.011173869013679453],[5.154545464574488e-17]
Train,[0.012270469954069682],[-1.4219435764343416e-17]
Train,[0.0230132159302341],[0.03438096348558746]
Train,[0.004746358576165864],[-5.660940508080368e-05]
Train,[0.004655344909810809],[-5.358999134595823e-05]
Train,[-0.0005577459077576057],[-0.004034344537249017]
Train,[-0.007757286668062399],[-0.00015889840017183058]
Train,[-0.03633362535083051],[-0.045883068590714844]
Train,[-0.028157833658031067],[-0.0349786803963768]
Train,[-0.0012076126086768952],[9.492673473004164e-05]
Train,[-0.03228077066671657],[-0.04627765738667046]
Train,[-0.007794076123018868],[-3.3989878229992957e-05]
Train,[-0.0077940761230182775],[-3.398987822992186e-05]
Train,[-0.03491593602473578],[-0.04066150513468966]
Train,[0.005309567491606831],[2.4884012587600978e-17]
Train,[0.007485103310832935],[-7.109717882171708e-18]
Train,[0.007830609142339368],[3.554858941085854e-18]
Train,[0.008734878566508467],[2.1329153646515123e-17]
Train,[-0.0039802009425428],[-4.4435736763573173e-17]
Train,[-0.004041486301871342],[1.777429470542927e-18]
Train,[-0.003995144330213602],[7.109717882171708e-18]
Train,[-0.002641291972121938],[5.332288411628781e-18]
Train,[0.002090902207437301],[5.332288411628781e-18]
Train,[0.0007598502711527871],[5.154545464574488e-17]
Train,[0.0004783293967704293],[2.6661442058143905e-17]
Train,[-0.001221229350610928],[-1.4219435764343416e-17]
Train,[0.005303647194000867],[2.4884012587600978e-17]
Train,[0.002072339353329908],[3.554858941085854e-18]
Train,[0.0029069239972296782],[-7.109717882171708e-18]
Train,[0.000900273918571285],[2.1329153646515123e-17]
Train,[-0.015975053735179316],[-0.026625543078478163]
Train,[0.003825309090986197],[2.2065670332059232e-05]
Train,[0.003825309090986126],[2.2065670332043237e-05]
Train,[-0.004852547643204446],[-0.010819584887894211]
Train,[-0.017406011687660317],[-0.03225606525120859]
Train,[0.008264121102320492],[-8.283271037156526e-06]
Train,[0.008264121102320575],[-8.283271037128086e-06]
Train,[-0.009863000771456206],[-0.016913774181797965]
Train,[0.004233019096505524],[2.2891925915120585e-05]
Train,[-0.028084575714759405],[-0.03182907221959152]
Train,[-0.0101590700038543],[-0.020464129780504544]
Train,[0.006383710226339109],[-2.3638814429758262e-05]
Train,[0.023153807958448815],[0.03440895195350581]
Train,[0.0037710765103871713],[1.4735973175520492e-05]
Train,[0.003874513304404871],[1.5567489784773216e-05]
Train,[-0.000521521904589353],[-0.004036339566023049]
Train,[0.007122386048126468],[3.554858941085854e-17]
Train,[0.005495463945768833],[1.777429470542927e-17]
Train,[0.004830184377883925],[1.0664576823257561e-17]
Train,[0.003433450633228614],[-3.554858941085854e-18]
Train,[0.0062392594046926375],[2.2891925915058375e-05]
Train,[-0.005298595186412032],[-0.020464129780504506]
Train,[-0.0205576659596924],[-0.031829072219591546]
Train,[0.004799719374814113],[-2.3638814429879127e-05]
Train,[-0.02898702770777879],[-0.04561650164468641]
Train,[0.00232600061036633],[1.9396626151761136e-05]
Train,[0.0023260006103671405],[1.9396626151727366e-05]
Train,[-0.04455321065189969],[-0.0758359848487359]
Train,[-0.0038953775916938317],[-4.3729694585197905e-05]
Train,[-0.0051229819353468455],[0.03502717829940114]
Train,[0.0046895018511843405],[0.045935314554483554]
Train,[0.0017876042313598984],[2.6112677810562557e-05]
Train,[0.010650749720217274],[8.887147352714636e-18]
Train,[0.011216158741684584],[3.554858941085854e-17]
Train,[0.010962914133312341],[4.62131662341161e-17]
Train,[0.012330564197674436],[3.554858941085854e-17]
Train,[0.023036583015888297],[0.034408951953505816]
Train,[0.003867166732916624],[1.5567489784769662e-05]
Train,[0.0037630765138165255],[1.4735973175508051e-05]
Train,[-0.000568959422099772],[-0.004036339566023045]
Train,[-0.007522218097020378],[-4.372969458515169e-05]
Train,[0.022876568732075244],[0.04593531455448341]
Train,[0.021780512120435337],[0.03502717829940113]
Train,[-0.001668528144339484],[2.6112677810624766e-05]
Train,[-0.032280203431931644],[-0.04635232803249935]
Train,[-0.00749648447475911],[9.351713285471434e-06]
Train,[-0.007496484474759095],[9.35171328546788e-06]
Train,[-0.03493030107686224],[-0.040683025111418206]
Train,[0.005329572380525029],[-2.310658311705805e-17]
Train,[0.007494722744450759],[-2.4884012587600978e-17]
Train,[0.007707256963670853],[-1.777429470542927e-17]
Train,[0.008612003047325055],[-2.843887152868683e-17]
Train,[-0.003989334653433923],[3.554858941085854e-17]
Train,[-0.00452007224272913],[1.0664576823257561e-17]
Train,[-0.004022007629894401],[1.777429470542927e-17]
Train,[-0.0027879306498868263],[-3.554858941085854e-18]
Train,[0.0010111046107713758],[8.887147352714636e-18]
Train,[0.0008403170302823714],[4.62131662341161e-17]
Train,[0.000764881079878492],[3.554858941085854e-17]
Train,[-0.0012073427616067689],[3.554858941085854e-17]
